plan_name_upper,plan_domain,lines,carrier_group,carrier_parent,carrier_type,resolved_from,submitter_group,submitter_type
THE FUN PIMPS ENTERTAINMENT LLC,clearhs.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,ClearHealth Strategies,Repricing vendor
BCBS SELECT,multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
UHC,tpa4tsa.com,2,UnitedHealthcare,UnitedHealth Group,Carrier,name,Other / direct,Unclassified
HORIZON BCBS NJ - OMNIA,multiplan.com,2,Horizon BCBS NJ,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
"D.W. MORGAN COMPANY, LLC",multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
UMR,clearhhs.com,2,UnitedHealthcare,UnitedHealth Group,Carrier,name,Other / direct,Unclassified
JOSHUA CHUKUKA,azblue.com,2,BCBS Arizona,Independent,Blues licensee,domain,Blues plan,Blues licensee
"VRX, INC. WELFARE BENEFIT PLAN",cigna.com,2,Cigna,Cigna,Carrier,domain,Cigna,Carrier
E&H INDUSTRIES LLC DBA E-DISTRIBUTION,multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
BLUECROSS BLUE SHIELD,azblue.com,2,BCBS Arizona,Independent,Blues licensee,domain,Blues plan,Blues licensee
"IMAGINE BELIEVE REALIZE, LLC",multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
LABORERS' NATIONAL HEALTH AND WELFARE,multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
"GUARDIAR USA, LLC",zelis.com88,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,Zelis,Repricing vendor
SISECAM CHEMICALS RESOURCES LLC,cigna.com,2,Cigna,Cigna,Carrier,domain,Cigna,Carrier
"MALLARD CREEK POLYMERS, LLC",multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
ABC LIQUORS,springtidehealth.com,2,,,,,Other / direct,Unclassified
"PIEDMONT HEALTHCARE, INC. COMPREHENSIVE",multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
CIGNA- WOOD GROUP,multiplan.com,2,Cigna,Cigna,Carrier,name,MultiPlan / Claritev,Repricing vendor
INTEROPERABILITY BIDCO INC,cigna.com,2,Cigna,Cigna,Carrier,domain,Cigna,Carrier
TARIAN GROUP LLC,springtidehealth.com,2,,,,,Other / direct,Unclassified
ANTEM,anthem.com,2,Anthem / Elevance,Anthem / Elevance,Carrier,domain,Anthem / Elevance,Carrier
UHC AND STEWART TITLE COMPANY,uhc.com,2,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
NORTHERN NEVADA OPERATING ENGINEERS HEAL,bpareno.com,2,,,,,Other / direct,Unclassified
"ACELYRIN, INC.",multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
CAPLING LEVELING INC,alliedbenefit.com,2,,,,,Other / direct,Unclassified
"THE MODEL GROUP, INC.",springtidehealth.com,2,,,,,Other / direct,Unclassified
CIGNA HEALTH & LIFE INSURANCE CO IDR GROUP,zelis.com,2,Cigna,Cigna,Carrier,name,Zelis,Repricing vendor
ATTIVO PARTNERS LLC,cigna.com,2,Cigna,Cigna,Carrier,domain,Cigna,Carrier
AETNA - ALLSTATE INSURANCE COMPANY,aetna.com,2,Aetna,CVS Health,Carrier,name,Aetna,Carrier
"MONGODB, INC. WELFARE BENEFITS PLAN",cigna.com,2,Cigna,Cigna,Carrier,domain,Cigna,Carrier
CIGNA SOUTHWEST AIRLINES CO.,cigna.com,2,Cigna,Cigna,Carrier,name,Cigna,Carrier
BENEFIT ADMIN SYSTEMS,fairos.com,2,,,,,Other / direct,Unclassified
HORIZON BCBS NJ OMNIA,multiplan.com,2,Horizon BCBS NJ,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
APTARGROUP,uhc.com,2,UnitedHealthcare,UnitedHealthcare,Carrier,domain,UnitedHealthcare,Carrier
AMY'S ICE CREAMS INC.,multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
ANTHEM FEP-GA,anthem.com,2,BCBS Federal Employee Program,BCBSA,Blues licensee,name,Anthem / Elevance,Carrier
"AUTO-VEHICLE PARTS HOLDING,LLC",siscobenefits.com,2,,,,,Other / direct,Unclassified
"GALA CAPITAL PARTNERS, LLC",healthez.com,2,,,,,Other / direct,Unclassified
CORNELL UNIVERSITY,aetna.com,2,Aetna,Aetna,Carrier,domain,Aetna,Carrier
"BCM ONE, INC.",cigna.com,2,Cigna,Cigna,Carrier,domain,Cigna,Carrier
"HUSKEY TRUSS & BUILDING SUPPLY, INC.",zelis.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,Zelis,Repricing vendor
BILL MILLER BARBQ ENTERPRISE,springtidehealth.com,2,,,,,Other / direct,Unclassified
"STOCKBRIDGE CAPITAL GROUP, LLC",multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
CIGNA SOT - LOCAL ED,cigna.com,2,Cigna,Cigna,Carrier,name,Cigna,Carrier
ANTHEM BCBS - HORIZON,anthem.com,2,Horizon BCBS NJ,Independent,Blues licensee,name,Anthem / Elevance,Carrier
"TOTAL SPECIALTY SERVICES, LLC.",multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
CYTEK BIOSCIENCES INC.,cigna.com,2,Cigna,Cigna,Carrier,domain,Cigna,Carrier
"CERIUM NETWORKS, INC.",cigna.com,2,Cigna,Cigna,Carrier,domain,Cigna,Carrier
ONWARD MFG. CO.,zelis.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,Zelis,Repricing vendor
NM BCBS,bcbsil.com,2,BCBS — HCSC (state not identified),HCSC,Blues licensee,domain,Blues plan,Blues licensee
HORIZON FEDERAL BLUE CROSS,multiplan.com,2,Horizon BCBS NJ,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
HANOVER INSURANCE COMPANY,hanover.com,2,,,,,Other / direct,Unclassified
GUNNISON CONSULTING GROUP INC.,multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
CIGNA CARE OF MULTIPLAN,multiplan.com,2,Cigna,Cigna,Carrier,name,MultiPlan / Claritev,Repricing vendor
HORIZON BCBS OF NJ HMO,claritev.com,2,Horizon BCBS NJ,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
UNITHED HETHACARE,uhc.com,2,UnitedHealthcare,UnitedHealthcare,Carrier,domain,UnitedHealthcare,Carrier
STRATUS UNLIMITED LLC,cigna.com,2,Cigna,Cigna,Carrier,domain,Cigna,Carrier
CARE NETWORK REPRICING,quantum-health.com,2,,,,,Other / direct,Unclassified
AMBETTER AZ COMPLETE HEALTH,centene.com,2,Centene,Centene,Carrier,name,Centene,Carrier
"INTRADIEM, INC. HEALTH AND WELFARE",multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
GLECO PLATING INC,alliedbenefit.com,2,,,,,Other / direct,Unclassified
"AETNA-UHS OF DELAWARE, INC",aetna.com,2,Aetna,CVS Health,Carrier,name,Aetna,Carrier
BC BS OF NEVADA,anthem.com,2,Anthem / Elevance,Anthem / Elevance,Carrier,domain,Anthem / Elevance,Carrier
BCBS FEDERAL FEP NY EMPIRE,anthem.com,2,BCBS Federal Employee Program,BCBSA,Blues licensee,name,Anthem / Elevance,Carrier
BLUE CROSS BLUE SHIELD OF MICH,bcbsm.com,2,BCBS Michigan,Independent,Blues licensee,domain,Blues plan,Blues licensee
