plan_name_upper,plan_domain,lines,carrier_group,carrier_parent,carrier_type,resolved_from,submitter_group,submitter_type
NALC,multipan.com,1,NALC Health Benefit Plan,NALC,Union / Taft-Hartley,name,MultiPlan / Claritev,Repricing vendor
CIGNA-THE BORING COMPANY HEALTH AND WELFARE PL,multiplan.com,1,Cigna,Cigna,Carrier,name,MultiPlan / Claritev,Repricing vendor
"GIVE KIDS THE WORLD, INC.",cigna.com,1,Cigna,Cigna,Carrier,domain,Cigna,Carrier
CIMBAR RESOURCES INC,multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
IMAGINE360 ADMINISTRATORS LLC,springtidehealth.com,1,,,,,Other / direct,Unclassified
COMMERCIAL GENERIC OON,6degreeshealth.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,Other repricing vendor,Repricing vendor
HEALTH PLANS INC,zelispayments.com,1,Health Plans Inc,HPI,TPA / ASO,name,Other / direct,Unclassified
UNITED HEALTHCARE SHARED SERVICES,clearhealth.com,1,UnitedHealthcare,UnitedHealth Group,Carrier,name,ClearHealth Strategies,Repricing vendor
INTEGRIS C.O. WEBTPA,multiplan.com,1,WebTPA,WebTPA,TPA / ASO,name-override,MultiPlan / Claritev,Repricing vendor
NEW SUMMIT CHARTER ACADEMY,multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
"PATRIOT GROUP INTERNATIONAL, INC.",multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
"HEALTHCARE EXPRESS MANAGEMENT, LTD",cigna.com,1,Cigna,Cigna,Carrier,domain,Cigna,Carrier
HST,multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
CUEITY GROUP,acuity-grp.com,1,,,,,Other / direct,Unclassified
NETWORK HEALTH,networkhealth.com,1,Network Health,Network Health,Carrier,name,Other / direct,Unclassified
CIGNA-BENNIE HEALTH INC.,multiplan.com,1,Cigna,Cigna,Carrier,name,MultiPlan / Claritev,Repricing vendor
"BCBS, AZZ INC.",bcbstx.com,1,BCBS Texas,HCSC,Blues licensee,domain,Blues plan,Blues licensee
AMERICAN SPECIALTY HEALTH,centivo.com,1,,,,,Other / direct,Unclassified
SOUTH DENVER GASTROENTEROLOGY P.C.,multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
BALL CORPORATION,multiplan.co,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
STERLING DISTRIBUTORS,cigna.com,1,Cigna,Cigna,Carrier,domain,Cigna,Carrier
KAISER MEDICARE,multiplan.com,1,Kaiser Permanente,Kaiser,Carrier,name,MultiPlan / Claritev,Repricing vendor
COURY HOSPITALITY LLC,cigna.com,1,Cigna,Cigna,Carrier,domain,Cigna,Carrier
"MED VENTURE MANAGEMENT, LLC",multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
BLUECROBLUECROSS BSS BLUESHIELD OF TEXAS,bcbstx.com,1,BCBS Texas,HCSC,Blues licensee,name,Blues plan,Blues licensee
"LAW OFFICES OF STEPHENSON, ACQUISTO & CO",multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
PLUG POWER,mulitplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
SUMMIT EMPLOYEE BENEFIT PLAN TRUST,springtidehealth.com,1,,,,,Other / direct,Unclassified
GRAVIE ADMINISTRATIVE SERVICES GRV,gravie.com,1,Gravie,Gravie,Carrier,name,Other / direct,Unclassified
COMMUNITY FIRST HEALTH-UNIVERSITY FAMILY CARE PLAN,cfhp.com,1,,,,,Other / direct,Unclassified
THE KEMPTON GRP INS,phiagroup.com,1,,,,,Other / direct,Unclassified
"MOXIMED, INC.",multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
UHC NY,uhc.com,1,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
"MYCOMPUTERCAREER, INC.",cigna.com,1,Cigna,Cigna,Carrier,domain,Cigna,Carrier
"UNITED DIGESTIVE MSO PARENT, LLC HEALTH",cigna.com,1,Cigna,Cigna,Carrier,domain,Cigna,Carrier
"CNET GLOBAL SOLUTIONS, INC.",cigna.com,1,Cigna,Cigna,Carrier,domain,Cigna,Carrier
BLUE CROSS BLUE SHIELD OF NEW JERSEY,aetna.com,1,Horizon BCBS NJ,Independent,Blues licensee,name,Aetna,Carrier
CHS PLUMBING ARIZONA,multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
ROSEN HOTELS AND RESORTS INC C.O. WEBTPA,multiplan.com,1,WebTPA,WebTPA,TPA / ASO,name-override,MultiPlan / Claritev,Repricing vendor
ABSOLUTE TOTAL CARE PROVIDER DISPUTES,centene.com,1,Centene,Centene,Carrier,domain,Centene,Carrier
HEARTLAND HEALTH PLAN COMM,ufcwbenefitplan.com,1,,,,,Other / direct,Unclassified
KALLEO TECHNOLOGIES LLC,novahealthcare.com,1,,,,,Other / direct,Unclassified
BCBS AND THE CITY OF RICHARDSON,bcbstx.com,1,BCBS Texas,HCSC,Blues licensee,domain,Blues plan,Blues licensee
LAKE MANAGEMENT SERVICES LP,multiplan.co,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
"MITCHELL AND STARK CONSTRUCTION CO., INC",unifiedgrp.com,1,,,,,Other / direct,Unclassified
UMR ARDENT HEALTH - UNITED HEALTHCARE,clearhs.com,1,UnitedHealthcare,UnitedHealth Group,Carrier,name,ClearHealth Strategies,Repricing vendor
"PALACE CONSTRUCTION CO., INC.",multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
"KASPARIAN UNDERGROUND, LLC & H&B CONTRAC",multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
"PALOMAR HOLDINGS, INC.",cigna.com,1,Cigna,Cigna,Carrier,domain,Cigna,Carrier
COX HEALTH SYSTEM INSURANCE,clearhealthcloud.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,ClearHealth Strategies,Repricing vendor
"AVEVA SOFTWARE, LLC",cigna.com,1,Cigna,Cigna,Carrier,domain,Cigna,Carrier
"OXYGEN FORENSICS, INC.",cigna.com,1,Cigna,Cigna,Carrier,domain,Cigna,Carrier
SELECT HEALTH,imaul.com,1,SelectHealth,Intermountain,Provider-sponsored,name,Other / direct,Unclassified
"23, LTD DBA BRADSBY GROUP",multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
BCBS AND FEDERAL RESERVE BANK,bcbstx.com,1,BCBS Texas,HCSC,Blues licensee,domain,Blues plan,Blues licensee
ADOBE CARE AND WELLNESS,multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
UNILODE AVIATION SOLUTIONS,multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
GLOBAL TECHNOLOGY SOLUTIONS INC.,multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
GEISINGER QUALITY OPTIONS INC,geisinger.edu,1,Geisinger Health Plan,Geisinger,Provider-sponsored,name,Other / direct,Unclassified
"AETNA - CHEWY, INC.",aetna.com,1,Aetna,CVS Health,Carrier,name,Aetna,Carrier
DURO TECH INC.,multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
UNITED HEALTHCARE - INTEGRATED SERVICES,uhc.com,1,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
WELL SENSE,wellsense.org,1,,,,,Other / direct,Unclassified
REGED INC.,multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
HORIZON BCBS- INDEPENDENCE ADMIN,multiplan.com,1,Horizon BCBS NJ,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
"BCBS, T-MOBILE",bcbstx.com,1,BCBS Texas,HCSC,Blues licensee,domain,Blues plan,Blues licensee
CIGNA HEALTH AND LIFE INSURANCE COMPANYC,multiplan.com,1,Cigna,Cigna,Carrier,name,MultiPlan / Claritev,Repricing vendor
"VEKA HOLDINGS, INC",cigna.com,1,Cigna,Cigna,Carrier,domain,Cigna,Carrier
"TULLY CONSTRUCTION COMPANY, INC.",hnas.com,1,,,,,Other / direct,Unclassified
UNITED HEALTHCARE COMMERC,uhc.com,1,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
"UNITED NOTIONS, INC.",personifyhealth.com,1,,,,,Other / direct,Unclassified
"VERITAS MANAGED SOLUTIONS, INC.",cigna.com,1,Cigna,Cigna,Carrier,domain,Cigna,Carrier
DR. JAMES DOBSON FAMILY INSTITUTE,multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
"KRJA SYSTEMS INC, DBA MAPTEK",multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
"MOODY INSURANCE AGENCY, INC.",multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
AETNA151 FARMINGTON AVENUE,aetna.com,1,Aetna,Aetna,Carrier,domain,Aetna,Carrier
PANORAMA INSURANCE ASSOCIATES,benicomp.com,1,,,,,Other / direct,Unclassified
"BCBS, TEGNA",bcbstx.com,1,BCBS Texas,HCSC,Blues licensee,domain,Blues plan,Blues licensee
PINPOINT SYSTEMS CORPORATION,alliedbenefit.com,1,,,,,Other / direct,Unclassified
BOYLE LEONARD ANDERSON PA,90degreebenefits.com,1,,,,,Other / direct,Unclassified
BLUE CROSS FEDERAL OON,gmmi.com,1,,,,,Other / direct,Unclassified
SW TEAMSTERS SECURITY FUND,eplanllc.com,1,,,,,Other / direct,Unclassified
CIGNA- CIGNA,cigna.com,1,Cigna,Cigna,Carrier,name,Cigna,Carrier
MACKINTOSH ACADEMY BOULDER LLC,multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
ANTHEM INC.,blueshieldca.com,1,Anthem / Elevance,Elevance,Carrier,name,Blues plan,Blues licensee
HEALTHCARE PARTNERS,multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
"UBICQUIA, INC",cigna.com,1,Cigna,Cigna,Carrier,domain,Cigna,Carrier
CULINARY HEALTH FUND,culinaryhealthfund.org,1,,,,,Other / direct,Unclassified
LOWE'S COMPANY,anthem.com,1,Anthem / Elevance,Anthem / Elevance,Carrier,domain,Anthem / Elevance,Carrier
TEAMSTERS LOCAL 863,zelis.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,Zelis,Repricing vendor
VAULT ADMIN SVCS,allthingsvault.com,1,,,,,Other / direct,Unclassified
SSA GROUP LLC WELFARE BENEFIT PLAN,multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
"K921 MANAGEMENT , LLC",multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
MAGNACARE ADMIN SERVICE,magnacare.com,1,MagnaCare,Brighton,TPA / ASO,name,Other / direct,Unclassified
HORIZON,mutiplan.com,1,Horizon BCBS NJ,Independent,Blues licensee,name,Other / direct,Unclassified
EDWARD JONES,anthem.com,1,Anthem / Elevance,Anthem / Elevance,Carrier,domain,Anthem / Elevance,Carrier
ALLEGIANCE BY CIGNA,multiplan.com,1,Cigna,Cigna,TPA / ASO,name-override,MultiPlan / Claritev,Repricing vendor
NATURAL HABITAT,multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
THE PREMIER ENTERTAINMENT GROUP,alliedbenefit.com,1,,,,,Other / direct,Unclassified
"BCBS AND PROTENUS, INC.",bcbstx.com,1,BCBS Texas,HCSC,Blues licensee,domain,Blues plan,Blues licensee
H.W. HOUSTON CONSTRUCTION LLC,multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
REECE ALBERT INC,springtidehealth.com,1,,,,,Other / direct,Unclassified
INSURANCE ADMINISTRATORS OF AMERICA,multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
BLUE CROSS BLUE SHIELD OF GEORGIA LOW D,anthem.com,1,Anthem / Elevance,Anthem / Elevance,Carrier,domain,Anthem / Elevance,Carrier
HERITAGE BANK OF COMMERCE,multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
"BCBS, CBIZ, INC.",bcbstx.com,1,BCBS Texas,HCSC,Blues licensee,domain,Blues plan,Blues licensee
"MOLTZ CONSTRUCTION, INC.",multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
POINT32HEALTH,healthplansinc.com,1,Point32Health,Point32,Carrier,name,Other / direct,Unclassified
"CARLTON ELECTRIC, INC.",multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
PHINIA INC.,cigna.com,1,Cigna,Cigna,Carrier,domain,Cigna,Carrier
OMEDA HOLDINGS LLC,alliedbenefit.com,1,,,,,Other / direct,Unclassified
CIGNA HEALTH AND LIFE LNSURANCE COMPANY,cigna.com,1,Cigna,Cigna,Carrier,name,Cigna,Carrier
FOCUS ON THE FAMILY,cigna.com,1,Cigna,Cigna,Carrier,domain,Cigna,Carrier
"CIGNA-TRK ENTERPRISES, INC.",multiplan.com,1,Cigna,Cigna,Carrier,name,MultiPlan / Claritev,Repricing vendor
"SENIORLINK, INC. DBA CAREFORTH",cigna.com,1,Cigna,Cigna,Carrier,domain,Cigna,Carrier
HUSDON RIVER TRADING,multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
BLUE ADVANTAGE ADMINISTRATOR OF ARKANSAS,multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
CIGNA - STINGRAY CHEVROLET,cigna.com,1,Cigna,Cigna,Carrier,name,Cigna,Carrier
BEAM CONCRETE CONSTRUCTION LTD,hfbenefits.com,1,,,,,Other / direct,Unclassified
REDW LLC,multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
"ALLEGIANCE AND NTT DATA AMERICAS, INC",claritev.com,1,Cigna,Cigna,TPA / ASO,name-override,MultiPlan / Claritev,Repricing vendor
BAYLOR SCOTTWHITE HEALT,bswhealth.org,1,Baylor Scott & White,BSW,Provider-sponsored,name,Other / direct,Unclassified
KAISER FOUNDATION HEALTHPLLAN INC,multiplan.com,1,Kaiser Permanente,Kaiser,Carrier,name,MultiPlan / Claritev,Repricing vendor
WINDIGO LOGISTICS LLC LIFE AND DISABILIT,cigna.com,1,Cigna,Cigna,Carrier,domain,Cigna,Carrier
QUANTUM HEALTH,alliedbenefit.com,1,,,,,Other / direct,Unclassified
"BUFFALO BAYOU PARTNERSHIP, INC.",cigna.com,1,Cigna,Cigna,Carrier,domain,Cigna,Carrier
BENEFIT ADMINISTRATION SERVICE,acuity-grp.com,1,,,,,Other / direct,Unclassified
"CIGNA-ARAPAHOE MENTAL HEALTH CENTER, INC.",multiplan.com,1,Cigna,Cigna,Carrier,name,MultiPlan / Claritev,Repricing vendor
"SAVIYNT, INC.",cigna.com,1,Cigna,Cigna,Carrier,domain,Cigna,Carrier
ESTES PARK SCHOOL DISTRICT R-3,multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
TRIBADO HEALTH,tribadohealth.com,1,,,,,Other / direct,Unclassified
FIRST EQUIPMENT COMPANY,multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
HORIZON BLUE CROSS BLUE SHIELD,mulitplan.com,1,Horizon BCBS NJ,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
BCBS AND RAYTHEON TECHNOLOGIES,bcbstx.com,1,BCBS Texas,HCSC,Blues licensee,domain,Blues plan,Blues licensee
CIGNA-INNER CITY HEALTH CENTER,multiplan.com,1,Cigna,Cigna,Carrier,name,MultiPlan / Claritev,Repricing vendor
ANTHEM,uhc.com,1,Anthem / Elevance,Elevance,Carrier,name,UnitedHealthcare,Carrier
HEALTHCOMP,alliedbenefit.com,1,HealthComp,HealthComp,TPA / ASO,name,Other / direct,Unclassified
"NORTHERN LITHO, LLC",cigna.com,1,Cigna,Cigna,Carrier,domain,Cigna,Carrier
FELLOWSHIP OF CATHOLIC UNIVERSITY STUDEN,multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
ALLIED NATIONAL BENEFITS,alliedbenefit.com,1,,,,,Other / direct,Unclassified
HEALTHNOW ADMIN,hnas.com,1,,,,,Other / direct,Unclassified
POWELL VALLEY HEALTHCARE,springtidehealth.com,1,,,,,Other / direct,Unclassified
UNITED HEALTHCARE SHARED SERVICES,uhcsr.com,1,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
KAISER - SOUTHERN CAL,multiplan.com,1,Kaiser Permanente,Kaiser,Carrier,name,MultiPlan / Claritev,Repricing vendor
FIRST FREEDOM BANK,personifyhealth.com,1,,,,,Other / direct,Unclassified
UNITEDHEALTH INTEGRATED SERV,umr.com,1,UnitedHealthcare,UnitedHealthcare,Carrier,domain,UnitedHealthcare,Carrier
HEALTH PLANS INC,heatlhplansinc.com,1,Health Plans Inc,HPI,TPA / ASO,name,Other / direct,Unclassified
AMBETTER OF ARIZONA,centene.com,1,Centene,Centene,Carrier,name,Centene,Carrier
OXFORD HEALTH,multiplan.com,1,UnitedHealthcare,UnitedHealth Group,Carrier,name,MultiPlan / Claritev,Repricing vendor
NJ - BCBS HORIZON,highmark.com,1,Horizon BCBS NJ,Independent,Blues licensee,name,Blues plan,Blues licensee
"CLAIMDOC, LLC",claim-doc.com,1,,,,,Other / direct,Unclassified
COMPLIANCE RESOURCES INC.,edisonehs.com,1,,,,,Other / direct,Unclassified
ARCHIMEDES INC DBA VILLAGE PLUMBING AND,clearhealthcloud.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,ClearHealth Strategies,Repricing vendor
"NSPS METALS, LLC",cigna.com,1,Cigna,Cigna,Carrier,domain,Cigna,Carrier
"3DR LABS, LLC",multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
PHOENIX PEACH LLC DBA GOETTL HEAT & AIR,cigna.com,1,Cigna,Cigna,Carrier,domain,Cigna,Carrier
REDACTEDSEIU NATIONAL BENEFIT FUND,seiufunds.org,1,Union / Taft-Hartley fund,Union,Union / Taft-Hartley,name,Other / direct,Unclassified
"SUN WEST MORTGAGE COMPANY, INC.",clearhs.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,ClearHealth Strategies,Repricing vendor
ELITE CLINICAL LABORATORY,unifiedgrp.com,1,,,,,Other / direct,Unclassified
THE HIGHER EDUC LOAN AUTH OF MO DBA MOHE,cigna.com,1,Cigna,Cigna,Carrier,domain,Cigna,Carrier
MEDICAL ASSOCIATES HEALT,clearhs.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,ClearHealth Strategies,Repricing vendor
"GLOVIS AMERICA, INC.",cigna.com,1,Cigna,Cigna,Carrier,domain,Cigna,Carrier
"IMPERIAL INSURANCE COMPANIES, INC",imperialhealthholdings.com,1,,,,,Other / direct,Unclassified
VENUS AEROSPACE CORP,cigna.com,1,Cigna,Cigna,Carrier,domain,Cigna,Carrier
HORIZON BCBS - ANTHEM BCBS OF CA,multiplan.com,1,Horizon BCBS NJ,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
IFP - TENNESSEE PLANISSUER ASSOCIATED W,zelis.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,Zelis,Repricing vendor
NWOPP,nwopp.org,1,,,,,Other / direct,Unclassified
SALT RIVER PIMA MARICOPA -AMERIBEN,greenlightcm.com,1,AmeriBen,AmeriBen,TPA / ASO,name,Other repricing vendor,Repricing vendor
UNITES HEALTHCARE,uhc.com,1,UnitedHealthcare,UnitedHealthcare,Carrier,domain,UnitedHealthcare,Carrier
INFORMATION SERVICES GROUP,multiplan.co,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
CRANEWARE INC HEALTH AND BENEFITS PLAN,multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
RED ROCKS CHURCH,cigna.com,1,Cigna,Cigna,Carrier,domain,Cigna,Carrier
NATIONAL RECREATION AND PARK ASSOCIATION / CIGNA,multiplan.com,1,Cigna,Cigna,Carrier,name,MultiPlan / Claritev,Repricing vendor
5MS TECHNOLOGIES LLC,edisonehs.com,1,,,,,Other / direct,Unclassified
CASA GRANDE ESDEBT CO SUMMIT,greenlightcm.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,Other repricing vendor,Repricing vendor
HORIZON BCBS - REGENCE BCBS,multiplan.com,1,Horizon BCBS NJ,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
F&W FORESTRY SERVICES INC,multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
ALLIED BENEFIT SYSTEM LL,alliedbenefit.com,1,Allied Benefit Systems,Allied,TPA / ASO,name,Other / direct,Unclassified
THE HEALTH PLAN UOHV,healthplan.org,1,The Health Plan,THP,Carrier,name,Other / direct,Unclassified
BASEPOINT HEALTH MANAGEMENT,multiplan.co,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
"DEEP SEAS, LLC",edisonehs.com,1,,,,,Other / direct,Unclassified
IRWIN R. ROSE & COMPANY,clearhs.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,ClearHealth Strategies,Repricing vendor
AMERICAN SAFETY COUNCIL DBA CERTUS,cigna.com,1,Cigna,Cigna,Carrier,domain,Cigna,Carrier
VOGUE TYRE & RUBBER COMPANY,multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
NIPPON LIFE BENEFITS,multiplan.com,1,Nippon Life Benefits,Nippon,Carrier,name,MultiPlan / Claritev,Repricing vendor
CARAHSOFT TECHNOLOGY CORP.,multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
VOLUSIA COUNTY GOVERNMENT,multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
TOWN OF EATONVILLE,centivo.com,1,,,,,Other / direct,Unclassified
"FELSBURG HOLT & ULLEVIG, INC.",multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
MONARCH CASINO BLACK HAWK,multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
PREFERRED BEHAVIORAL HEALTH OF NJ EMPLOYEE BENEFIT PLAN,springtidehealth.com,1,,,,,Other / direct,Unclassified
BCBS AND BANK OF AMERICA CORP,bcbstx.com,1,BCBS Texas,HCSC,Blues licensee,domain,Blues plan,Blues licensee
SUREST BIND UNITED HEALTH SHARED SERVICE,clearhs.com,1,UnitedHealthcare,UnitedHealth Group,Carrier,name,ClearHealth Strategies,Repricing vendor
INDECS EVENTUS HOMESTEAD,billingnav.com,1,Government / public program,Government,Government,name,Other / direct,Unclassified
CEC CITY BASE ER PHYSICIANS PLLC,bcbstx.com,1,BCBS Texas,HCSC,Blues licensee,domain,Blues plan,Blues licensee
COMMUNITY HEALTH OPTIONS,clearhealthcloud.com,1,Health Options,Independent,Carrier,name,ClearHealth Strategies,Repricing vendor
AMERICAN PLAN ADMINISTRATORS - AUTUMN LAKE HEALTHCARE,apatpa.com,1,Independent TPA (small),Various,TPA / ASO,name,Other / direct,Unclassified
CHS IDR DEPT.,aetna.com,1,,,,vendor-desk,Aetna,Carrier
NAROPA UNIVERSITY,lucenthealth.com,1,,,,,Other / direct,Unclassified
CONSOCIATE HEALTH,hstechnoloogy.com,1,Independent TPA (small),Various,TPA / ASO,name,Other / direct,Unclassified
SOHDENTAL LLC,cigna.com,1,Cigna,Cigna,Carrier,domain,Cigna,Carrier
PROVIDENCE HEALTH AND SERVICES OREGON,clearhs.com,1,Providence Health Plan,Providence,Provider-sponsored,name,ClearHealth Strategies,Repricing vendor
MITSUI CO USA INC.,multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
TEXAS ORTHOPEDIC SPECIALISTS PLLC,cigna.com,1,Cigna,Cigna,Carrier,domain,Cigna,Carrier
"HIGH HOPES, INC.",cigna.com,1,Cigna,Cigna,Carrier,domain,Cigna,Carrier
LIBERTY MEDIA CORPORATION,cigna.com,1,Cigna,Cigna,Carrier,domain,Cigna,Carrier
"ARMORY PART EXCHANGE, INC. DBA APEX",alliedbenefit.com,1,,,,,Other / direct,Unclassified
EOH MANAGEMENT PARTNERS,multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
"CIGNA-VIEW HOMES, INC.",multiplan.com,1,Cigna,Cigna,Carrier,name,MultiPlan / Claritev,Repricing vendor
LAST MILE TRANSPORTION SYSTEMS LLC,alliedbenefit.com,1,,,,,Other / direct,Unclassified
"CIGNA-RED CANARY, INC. HEALTH AND WELFARE PLAN",multiplan.com,1,Cigna,Cigna,Carrier,name,MultiPlan / Claritev,Repricing vendor
SWISHER MEMORIAL HEALTHCARE SYSTEM,multiplan.com,1,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
