provider_domain,lines,distinct_npis,filer_group,filer_type
northjerseyspinegroup.com,4,1,,
rush.edu,4,1,,
sonoranrm.comq,4,1,,
aventhealth.com,3,1,,
optimaanesthesia.com,3,0,,
fortheusrgeons.com,3,2,,
md-management.com,3,1,,
azvitallaw.com,3,1,,
omsmedbiling.com,3,1,,
fothesurgeons.com,3,3,,
spinecaremanagement.com,3,0,,
simplexmerd.com,3,2,,
bcbsm.com,3,1,,
callgyrecovery.com,3,0,,
crossbaymedical.com,3,1,,
preferredbilingaz.com,3,3,,
apsns.net,3,1,,
scp-health.co,3,1,,
alliancehealthsystems.com,3,1,,
njbrainspinebiling.com,3,2,,
craigbaldenhofermd.com,3,1,,
rtmc.com,3,1,,
soundphysicans.com,3,1,,
nkch.org,3,1,,
fam-llc.comt,3,1,,
mercer-health.com,3,1,,
smiplexmed.com,3,1,,
aaot.org,3,1,,
md-management.ne,3,3,,
ebillingsolutions.net,3,2,,
nmaiiom.com,3,1,,
epiomneuro.cm,3,1,,
halomad.com,3,1,,
mainehealth.org,3,2,,
iairm.comb,3,1,,
fam-llc.com3,3,1,,
cloudmed.com,3,3,,
r1rcm.comq,2,0,,
aspirus.org,2,1,,
houstonmethodist.org,2,0,,
erlanger.org,2,2,,
ameriaser.com,2,2,,
envisionhealth.com560,2,1,,
primesurgicare.com,2,1,,
hcahealth.com,2,1,,
mbbrm.comx,2,1,,
scp-health.comq,2,2,,
omsfoxcities.com,2,1,,
totalcare.com,2,2,,
agshealth.comq,2,2,,
liap.info,2,1,,
mdcapitaladvisors.com71,2,1,,
frthesurgeons.com,2,1,,
orthomedbilling.com,2,1,,
drdaviddupree.com,2,1,,
smirm.comq,2,1,,
usap.om,2,1,,
eiltebillingllc.com,2,1,,
mbbrm.comq,2,1,,
envisionhealth.com5,2,1,,
atlanticnueorcare.com,2,0,,
stiebermd.com,2,1,,
earthlink.net,2,1,,
aim.com,2,0,,
baycare.net,2,1,,
iairm.com424-352-0743,2,1,,
iwncherbilling.com,2,0,,
halomd.com0000000,2,1,,
allstarssurgical.com,2,1,,
alignedortho.com,2,1,,
scp-health.comc,2,1,,
uscs.com,2,1,,
elitebillingandcollections.com,2,1,,
corercm.com,2,2,,
tesslermd.com,2,1,,
ramapo.edu,2,2,,
caromonthealth.org,2,1,,
secureventra.com,2,1,,
performancerehabnj.com,2,1,,
paaragonanesthesia.com,2,1,,
spineepainsolutions.com,2,1,,
collaborativeimaging.com71,2,1,,
totalcrae.us,2,1,,
globalhealthcareresource.com,2,2,,
trinitydialysisclinic.com,2,1,,
nosurpriseill.com,2,1,,
americaer.com,2,2,,
rightmedialbilling.com,2,1,,
envisionhealth.comv,2,2,,
mebill-assoc.com,2,1,,
iairm.comq,2,1,,
houstoncraniofacial.com,2,1,,
merrifieldlaw.com,2,0,,
aristasolutionsinc.com,2,2,,
commonsclinic.com,2,1,,
alladathealth.com,2,0,,
epilepsygroup.com,2,1,,
amerciaser.com,2,1,,
gottlebandgreenspan.com,1,0,,
provanesthesiology.co,1,1,,
pchonline.org,1,0,,
synergy-hp.com,1,1,,
orthomedstaffing.comy7777777777,1,1,,
bmhcc.o3rg,1,1,,
shbcllc.om,1,1,,
neurodiagnostictex.com,1,0,,
halomd.come,1,1,,
synapsesiom.com,1,1,,
smirm.comc,1,1,,
modernorthonj.com,1,1,,
ameriacaser.com,1,1,,
survivalflightinc.com,1,1,,
greenbergcosmeticsurgery.com,1,1,,
primehealthcare.comq,1,0,,
totalcare.is,1,1,,
islandprofessionalbilling.om,1,1,,
mdcapital.com,1,1,,
mdcaptialadvisors.com,1,1,,
altamed.com,1,0,,
onet-sytems.com,1,1,,
verdicalrcm.com,1,1,,
uhsinc.com,1,1,,
islandprofessionabilling.com,1,1,,
r1rc.mcom,1,1,,
lihandccenter.com,1,1,,
riversideer.com,1,1,,
mmclawgroup.com,1,1,,
forthesurgeons.cm,1,1,,
familyemergencyroom.com,1,1,,
atlanticpediatricorthopedics.com,1,1,,
cortho.org,1,0,,
ilandprofessionalbilling.com,1,1,,
springtidehealth.com,1,1,,
restorationortho.com,1,1,,
miamibeachplasticsurgery.com,1,1,,
halomd.comvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv,1,1,,
racrm.comq,1,1,,
toyalcare.us,1,1,,
bossrabinowitz.com,1,1,,
syntechhealth.comq,1,1,,
forthesurgoens.com,1,1,,
gotliebandgreenspan.com,1,0,,
northjerseyneuro.com,1,0,,
envisionhealth.como,1,1,,
tprsg.com,1,1,,
specializedrevenue.com,1,1,,
palmettopain.net,1,0,,
elitebilling.com,1,1,,
healthplansinc.com,1,1,,
provanesthesiology.com509.97,1,1,,
ivinsonhospital.org,1,1,,
unitrddx.com,1,1,,
wicnherbilling.com,1,1,,
specialtycare.netr,1,1,,
levinsolutions.com,1,1,,
bcbsil.com,1,1,,
hera-health.com,1,1,,
tottalcare.us,1,1,,
preferrredbillingaz.com,1,1,,
saparm.com-b,1,1,,
totalcarte.us,1,1,,
amricaser.com,1,1,,
empireradrm.comq,1,1,,
assa.nj.com,1,1,,
omsmedbillling.com,1,1,,
nmaiom.co,1,1,,
nutexhealth.com,1,1,,
schealth.com,1,1,,
halomd.comw,1,1,,
quickmedclaims.com,1,1,,
northstarrcts.com,1,1,,
villagehealth.care,1,1,,
umcsn.com,1,1,,
wisemedicalbilling.com,1,1,,
sonoranrm.comm,1,1,,
islandprofessionlbilling.com,1,1,,
sapientlogic.cfom,1,1,,
apcjc.com,1,0,,
qualchoice.com,1,0,,
adventhealt.com,1,1,,
expressemergencyroom.com,1,1,,
eliteneurophysiology.com,1,1,,
haldmd.com,1,1,,
clearskiesanesthesia.com,1,0,,
altushealthysystem.com,1,1,,
mbmplus.org,1,1,,
gottliebandgreespan.com,1,0,,
networkspine.com,1,1,,
ftpbilling.comm,1,1,,
forthesurgeons.ccom,1,0,,
aac-md.com,1,0,,
millermilone.ccom,1,1,,
azblue.com,1,1,,
bellairer.com,1,1,,
rcha.net,1,1,,
usap.co,1,1,,
envisionhealth.comvnjac48,1,0,,
interhealthsolutions.com,1,1,,
untieddx.com,1,1,,
whn.care,1,0,,
envisionhealth.co,1,1,,
forthesurgions.com,1,1,,
wincherbiilling.com,1,0,,
foundationmedicine.com,1,1,,
e-billingsolutions.net,1,1,,
saparm.comz,1,1,,
med.umich.edu,1,1,,
commonspirti.org,1,0,,
agshealth.comanie,1,1,,
optum.com,1,1,,
medhealtfinancial.com,1,1,,
tech-med.com,1,1,,
mlanesthesia.co,1,1,,
rdlbilling.com,1,1,,
gottliebandgreenspand.com,1,0,,
toetalnyc.com,1,1,,
forthesuregons.com,1,1,,
memorialhermann.com,1,1,,
oaaweb.com,1,1,,
mlacinc.com,1,1,,
uniteidonm.com,1,1,,
preferedbillingaz.com,1,1,,
longislandbrainandspine.com.com,1,1,,
childrens.com,1,1,,
cnsmd.com,1,1,,
mlh.ort,1,1,,
mlanesthesia.comm,1,1,,
scp-health.com337-609-2720,1,0,,
njbcener.com,1,1,,
ams-md.com,1,0,,
mhnetwork.org,1,1,,
phiairmedical.com,1,1,,
summacare.com,1,1,,
gottlievandgreenspan.com,1,0,,
atlanticneurorcare.com,1,0,,
parkavenuemedicine.com,1,1,,
iaatpa.com,1,0,,
